"tExplicitGeometric1a","tExplicitGeometric1b","tExplicitGeometric2a","tExplicitGeometric2b","tExplicitGeometric3a","tExplicitGeometric3b","tVerbalRuleExplicitModelGeometric2a","tVerbalRuleExplicitModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3b"
0,0,0,0,1,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0
1,1,0,0,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,1,0,0,0
0,1,1,1,0,0,1,0,1,0
1,1,1,1,0,0,1,0,1,0
0,1,0,1,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,0,1
0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,1,0,1
0,0,0,1,1,1,1,0,0,0
1,1,0,0,1,1,1,0,1,1
0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,1,1,1,1,0
0,0,0,0,0,0,1,1,1,1
0,NA,0,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,NA,0,0
0,0,0,0,1,1,NA,NA,NA,NA
NA,NA,NA,NA,1,NA,NA,NA,NA,NA
0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1
0,0,0,0,0,0,0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,0,0,0,1,1,1,0,0,0
0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0
0,NA,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,1,0
0,1,0,0,0,1,1,1,0,1
NA,NA,NA,NA,NA,0,0,NA,NA,NA
0,1,1,1,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0
NA,NA,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,1,0
0,0,0,0,0,0,0,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,0,NA,NA,0,0,0,1
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,1,1,0,0,1,0
0,1,0,1,1,0,0,0,1,1
0,1,0,1,1,0,1,0,0,1
0,0,0,0,0,0,1,0,NA,NA
1,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,1,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,1,0
NA,NA,NA,NA,NA,NA,1,0,0,1
0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,1
0,1,0,0,0,1,1,0,1,0
1,1,0,0,0,0,0,0,1,0
0,1,0,0,0,1,1,0,1,0
0,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,1,0
0,0,0,1,0,1,1,1,1,0
0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
NA,NA,0,NA,NA,NA,0,0,0,0
