"tVisualExplicitVerbalRuleModelGeometric3a","tVisualExplicitVerbalRuleModelGeometric3b","tVisualExtendGeometric1a","tVisualExtendGeometric1b","tVisualExtendGeometric1c","tVisualExtendGeometric2a","tVisualExtendGeometric3a","tVisualExtendTableModelVerbalRuleGeometric2a","tVisualExtendVerbalRuleModelGeometric2a"
0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,1,0
0,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0
NA,NA,0,0,NA,0,0,0,0
0,0,NA,NA,NA,0,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,1,0,0,NA,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0
NA,NA,0,0,0,0,NA,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
NA,1,1,1,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,0,0,0,0,0
NA,0,0,0,0,0,NA,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
NA,NA,0,NA,NA,0,0,0,0
0,0,0,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1
1,0,0,0,1,1,0,0,0
NA,NA,0,0,0,0,1,0,0
1,0,NA,NA,NA,0,0,0,0
0,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
NA,NA,0,NA,NA,1,0,0,1
1,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,1,1,0,1,1
0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0
1,0,0,NA,NA,1,0,0,1
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1
1,0,0,1,1,1,0,0,0
1,0,1,1,0,0,0,0,1
1,0,1,1,1,1,0,0,1
0,0,1,1,1,0,1,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
